Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	      0.03208504	        1.600426
1.2500000000000e-003	      0.04210502	        1.759264
2.5000000000000e-003	      0.05432752	        1.903608
3.7500000000000e-003	      0.06562607	         2.01329
5.0000000000000e-003	      0.07772011	        2.100794
6.2500000000000e-003	      0.08813226	        2.152951
7.5000000000000e-003	      0.09769393	        2.183982
8.7500000000000e-003	       0.1110954	        2.207532
1.0000000000000e-002	        0.118682	        2.179582
1.1250000000000e-002	       0.1262947	        2.150246
1.2500000000000e-002	       0.1310062	        2.093803
1.3750000000000e-002	       0.1340805	        2.009139
1.5000000000000e-002	       0.1349994	        1.889942
1.6250000000000e-002	       0.1299971	        1.757948
1.7500000000000e-002	       0.1355601	        1.600034
1.8750000000000e-002	       0.1335284	        1.422085
2.0000000000000e-002	       0.1319975	        1.224319
2.1250000000000e-002	       0.1289195	          1.0185
2.2500000000000e-002	       0.1263023	        0.794147
2.3750000000000e-002	       0.1225484	       0.5560125
2.5000000000000e-002	       0.1166774	       0.3335354
2.6250000000000e-002	       0.1095886	      0.09364078
2.7500000000000e-002	       0.1011665	      -0.1409392
2.8750000000000e-002	      0.09514481	      -0.3743137
3.0000000000000e-002	      0.08452101	      -0.6064318
3.1250000000000e-002	      0.07193894	      -0.8338149
3.2500000000000e-002	      0.05714985	       -1.043914
3.3750000000000e-002	      0.04174488	        -1.24545
3.5000000000000e-002	      0.02489282	       -1.410677
3.6250000000000e-002	     0.005242795	       -1.567053
3.7500000000000e-002	    -0.008654088	       -1.696831
3.8750000000000e-002	     -0.02536257	       -1.830094
4.0000000000000e-002	     -0.04219988	       -1.923787
4.1250000000000e-002	     -0.05763426	       -1.983859
4.2500000000000e-002	     -0.07027158	       -2.022372
4.3750000000000e-002	     -0.08165671	       -2.052249
4.5000000000000e-002	     -0.09010178	       -2.016978
4.6250000000000e-002	      -0.0961889	       -1.963001
4.7500000000000e-002	      -0.1035398	       -1.908189
4.8750000000000e-002	      -0.1027121	       -1.809942
5.0000000000000e-002	      -0.1030057	       -1.707836
5.1250000000000e-002	      -0.1010043	       -1.565036
5.2500000000000e-002	     -0.09815844	       -1.396936
5.3750000000000e-002	     -0.09360087	       -1.206962
5.5000000000000e-002	     -0.08739911	       -1.023072
5.6250000000000e-002	     -0.08273437	      -0.8255504
5.7500000000000e-002	     -0.07169801	      -0.6128622
5.8750000000000e-002	     -0.06311755	      -0.3822492
6.0000000000000e-002	     -0.05463115	      -0.1509687
6.1250000000000e-002	     -0.04461708	      0.07053954
6.2500000000000e-002	     -0.03251843	       0.3070404
6.3750000000000e-002	     -0.02077107	       0.5432055
6.5000000000000e-002	    -0.009089079	       0.7791153
6.6250000000000e-002	     0.002494417	       0.9976088
6.7500000000000e-002	      0.01231511	        1.209434
6.8750000000000e-002	      0.02678823	        1.407245
7.0000000000000e-002	      0.03717436	        1.579576
7.1250000000000e-002	      0.04842729	        1.744891
7.2500000000000e-002	      0.05789396	        1.889578
7.3750000000000e-002	      0.06745835	        1.991936
7.5000000000000e-002	      0.07665563	        2.073594
7.6250000000000e-002	      0.08280775	        2.148781
7.7500000000000e-002	      0.09637774	         2.18562
7.8750000000000e-002	       0.1054309	         2.20605
8.0000000000000e-002	       0.1125773	        2.196064
8.1250000000000e-002	       0.1188188	        2.164645
8.2500000000000e-002	       0.1251864	        2.100958
8.3750000000000e-002	       0.1293875	        2.011716
8.5000000000000e-002	       0.1328786	        1.897434
8.6250000000000e-002	       0.1323972	        1.759628
8.7500000000000e-002	       0.1324635	        1.606046
8.8750000000000e-002	       0.1363814	        1.433975
9.0000000000000e-002	        0.134393	        1.250266
9.1250000000000e-002	       0.1327535	        1.052155
9.2500000000000e-002	       0.1281377	       0.8386271
9.3750000000000e-002	       0.1230918	        0.614397
9.5000000000000e-002	       0.1160648	       0.3843391
9.6250000000000e-002	       0.1047919	       0.1360664
9.7500000000000e-002	       0.1011994	     -0.09759812
9.8750000000000e-002	      0.09090677	      -0.3256545
1.0000000000000e-001	      0.07998651	       -0.557194
1.0125000000000e-001	       0.0668741	      -0.7783104
1.0250000000000e-001	       0.0549843	      -0.9938269
1.0375000000000e-001	      0.04135602	       -1.186508
1.0500000000000e-001	      0.02644639	       -1.373344
1.0625000000000e-001	      0.01166455	       -1.541663
1.0750000000000e-001	    -0.005783286	       -1.683422
