Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	        1.130447	        1.602484
1.2500000000000e-003	        1.655223	        2.128601
2.5000000000000e-003	        2.157586	        2.645127
3.7500000000000e-003	        2.632587	        3.094193
5.0000000000000e-003	         3.07189	         3.50268
6.2500000000000e-003	        3.469685	        3.893536
7.5000000000000e-003	        3.823613	        4.220004
8.7500000000000e-003	         4.12125	        4.482286
1.0000000000000e-002	        4.364468	         4.68016
1.1250000000000e-002	        4.545299	        4.817125
1.2500000000000e-002	        4.664362	        4.886473
1.3750000000000e-002	        4.714035	        4.885954
1.5000000000000e-002	        4.696671	        4.832423
1.6250000000000e-002	        4.609947	        4.703077
1.7500000000000e-002	        4.455175	         4.49103
1.8750000000000e-002	        4.237569	        4.252019
2.0000000000000e-002	        3.957724	        3.947657
2.1250000000000e-002	        3.622711	        3.573592
2.2500000000000e-002	        3.237477	        3.160962
2.3750000000000e-002	        2.810989	         2.69696
2.5000000000000e-002	        2.347158	         2.20671
2.6250000000000e-002	        1.852409	        1.690114
2.7500000000000e-002	        1.338382	        1.143721
2.8750000000000e-002	       0.8065056	       0.5700769
3.0000000000000e-002	       0.2670679	       0.0144081
3.1250000000000e-002	      -0.2748867	      -0.5574587
3.2500000000000e-002	       -0.809298	       -1.110043
3.3750000000000e-002	       -1.332596	       -1.646158
3.5000000000000e-002	       -1.834453	       -2.177065
3.6250000000000e-002	       -2.311029	       -2.656377
3.7500000000000e-002	       -2.756098	       -3.116327
3.8750000000000e-002	       -3.159971	       -3.517609
4.0000000000000e-002	       -3.521962	       -3.884543
4.1250000000000e-002	       -3.835256	       -4.180655
4.2500000000000e-002	       -4.098149	       -4.416123
4.3750000000000e-002	       -4.305374	       -4.584877
4.5000000000000e-002	       -4.455219	       -4.696098
4.6250000000000e-002	        -4.54466	       -4.763803
4.7500000000000e-002	       -4.567779	       -4.739427
4.8750000000000e-002	       -4.530834	       -4.662892
5.0000000000000e-002	       -4.430103	       -4.515561
5.1250000000000e-002	       -4.267412	       -4.296845
5.2500000000000e-002	       -4.044238	       -4.020196
5.3750000000000e-002	       -3.767522	       -3.702135
5.5000000000000e-002	       -3.438358	       -3.317331
5.6250000000000e-002	       -3.063845	       -2.886178
5.7500000000000e-002	       -2.645453	       -2.416967
5.8750000000000e-002	       -2.189129	       -1.905566
6.0000000000000e-002	       -1.704925	       -1.378097
6.1250000000000e-002	       -1.194751	      -0.8426973
6.2500000000000e-002	      -0.6695303	      -0.2732136
6.3750000000000e-002	      -0.1313011	       0.2834216
6.5000000000000e-002	       0.4083451	       0.8433949
6.6250000000000e-002	        0.945844	        1.394809
6.7500000000000e-002	        1.478719	        1.936819
6.8750000000000e-002	        1.988741	         2.44646
7.0000000000000e-002	        2.474883	        2.927282
7.1250000000000e-002	        2.927897	        3.373917
7.2500000000000e-002	        3.343811	        3.749968
7.3750000000000e-002	         3.71259	        4.107492
7.5000000000000e-002	        4.030181	        4.390066
7.6250000000000e-002	        4.292862	        4.595014
7.7500000000000e-002	        4.496369	        4.751229
7.8750000000000e-002	        4.637071	        4.857369
8.0000000000000e-002	        4.709151	        4.881816
8.1250000000000e-002	        4.713711	        4.844128
8.2500000000000e-002	        4.648176	        4.731417
8.3750000000000e-002	        4.514568	        4.562885
8.5000000000000e-002	        4.314146	        4.341587
8.6250000000000e-002	        4.051251	        4.041864
8.7500000000000e-002	        3.736151	        3.689539
8.8750000000000e-002	        3.366655	        3.275251
9.0000000000000e-002	        2.953204	        2.826892
9.1250000000000e-002	         2.50208	        2.347064
9.2500000000000e-002	        2.020408	        1.827066
9.3750000000000e-002	        1.512542	        1.302661
9.5000000000000e-002	       0.9877033	       0.7403751
9.6250000000000e-002	       0.4511912	       0.1676254
9.7500000000000e-002	     -0.09045903	      -0.3944541
9.8750000000000e-002	      -0.6270449	       -0.959651
1.0000000000000e-001	       -1.155443	       -1.509973
1.0125000000000e-001	       -1.665361	       -2.034542
1.0250000000000e-001	       -2.153343	       -2.532949
1.0375000000000e-001	       -2.611187	       -2.989629
1.0500000000000e-001	       -3.031776	        -3.40464
1.0625000000000e-001	       -3.411306	       -3.783688
1.0750000000000e-001	       -3.740541	       -4.108544
1.0875000000000e-001	       -4.020743	        -4.36893
1.1000000000000e-001	       -4.245656	       -4.562551
1.1125000000000e-001	       -4.413411	       -4.690409
