Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	        1.609444	       0.4594323
1.2500000000000e-003	        1.991657	       0.5310485
2.5000000000000e-003	        2.332683	       0.6048899
3.7500000000000e-003	        2.617276	       0.6652967
5.0000000000000e-003	        2.833847	       0.7009669
6.2500000000000e-003	        2.983929	       0.7313053
7.5000000000000e-003	        3.061289	       0.7363882
8.7500000000000e-003	        3.065276	       0.7290838
1.0000000000000e-002	        2.992028	       0.7054844
1.1250000000000e-002	        2.849771	       0.6730098
1.2500000000000e-002	        2.630891	       0.6198742
1.3750000000000e-002	        2.353415	       0.5568545
1.5000000000000e-002	        2.018746	       0.4848807
1.6250000000000e-002	        1.631939	       0.4147448
1.7500000000000e-002	        1.206059	       0.3182767
1.8750000000000e-002	       0.7493918	       0.2183887
2.0000000000000e-002	       0.2773226	       0.1140879
2.1250000000000e-002	      -0.2056358	     0.001154613
2.2500000000000e-002	      -0.6770384	     -0.09657232
2.3750000000000e-002	       -1.131516	      -0.1962968
2.5000000000000e-002	       -1.560329	      -0.2986596
2.6250000000000e-002	       -1.947601	      -0.3694243
2.7500000000000e-002	       -2.286218	      -0.4333548
2.8750000000000e-002	       -2.566733	      -0.4907519
3.0000000000000e-002	       -2.784381	      -0.5228726
3.1250000000000e-002	       -2.931586	      -0.5487652
3.2500000000000e-002	       -3.009594	        -0.57446
3.3750000000000e-002	       -3.006902	      -0.5630101
3.5000000000000e-002	       -2.931209	      -0.5386463
3.6250000000000e-002	       -2.784831	       -0.498373
3.7500000000000e-002	       -2.569294	      -0.4502061
3.8750000000000e-002	        -2.29212	      -0.3866813
4.0000000000000e-002	        -1.95424	      -0.3073086
4.1250000000000e-002	        -1.57634	      -0.2234841
4.2500000000000e-002	       -1.149779	       -0.135637
4.3750000000000e-002	      -0.6922543	     -0.03954258
4.5000000000000e-002	      -0.2247972	      0.06635161
4.6250000000000e-002	       0.2517253	       0.1625792
4.7500000000000e-002	        0.723348	       0.2584043
4.8750000000000e-002	        1.179186	       0.3511535
5.0000000000000e-002	        1.605029	       0.4446176
5.1250000000000e-002	        1.994396	       0.5160731
5.2500000000000e-002	        2.331187	       0.5771658
5.3750000000000e-002	        2.617115	        0.641638
5.5000000000000e-002	        2.838497	       0.6995021
5.6250000000000e-002	        2.988093	       0.7214875
5.7500000000000e-002	        3.065351	       0.7352516
5.8750000000000e-002	        3.065468	       0.7232737
6.0000000000000e-002	        2.992988	       0.7194376
6.1250000000000e-002	        2.843684	       0.6827223
6.2500000000000e-002	        2.629895	        0.635711
6.3750000000000e-002	        2.351787	       0.5583179
6.5000000000000e-002	         2.01215	       0.4756833
6.6250000000000e-002	        1.626073	       0.3879549
6.7500000000000e-002	         1.20022	       0.3051948
6.8750000000000e-002	       0.7474994	        0.221089
7.0000000000000e-002	       0.2746612	       0.1131374
7.1250000000000e-002	      -0.2007451	      0.01967727
7.2500000000000e-002	      -0.6761019	     -0.07768903
7.3750000000000e-002	       -1.129436	      -0.1785441
7.5000000000000e-002	       -1.553674	      -0.2747082
7.6250000000000e-002	       -1.941248	      -0.3406931
7.7500000000000e-002	        -2.27984	      -0.4152643
7.8750000000000e-002	       -2.563794	      -0.4822989
8.0000000000000e-002	       -2.780984	      -0.5300048
8.1250000000000e-002	       -2.935373	      -0.5526605
8.2500000000000e-002	       -3.009551	      -0.5639413
8.3750000000000e-002	        -3.00666	      -0.5720785
8.5000000000000e-002	       -2.935558	      -0.5450004
8.6250000000000e-002	        -2.78924	      -0.5074723
8.7500000000000e-002	       -2.573717	      -0.4523954
8.8750000000000e-002	       -2.292124	      -0.3935829
9.0000000000000e-002	       -1.955308	      -0.3126175
9.1250000000000e-002	       -1.569759	      -0.2222593
9.2500000000000e-002	       -1.148304	      -0.1305928
9.3750000000000e-002	      -0.6905606	     -0.04778536
9.5000000000000e-002	      -0.2181476	      0.05693097
9.6250000000000e-002	       0.2582923	        0.169109
9.7500000000000e-002	       0.7304858	       0.2692134
9.8750000000000e-002	        1.182511	       0.3704679
1.0000000000000e-001	        1.609027	       0.4595503
1.0125000000000e-001	          1.9914	       0.5412716
1.0250000000000e-001	        2.330734	       0.6078872
1.0375000000000e-001	        2.615836	       0.6626162
1.0500000000000e-001	        2.831863	       0.6918398
1.0625000000000e-001	        2.982028	       0.7120464
1.0750000000000e-001	        3.058665	       0.7296291
