Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	       -1.236976	        -3.13921
1.2500000000000e-003	       -1.209787	       -3.032606
2.5000000000000e-003	       -1.168406	       -2.872601
3.7500000000000e-003	       -1.110794	       -2.693737
5.0000000000000e-003	       -1.036516	        -2.46724
6.2500000000000e-003	      -0.9468727	       -2.211909
7.5000000000000e-003	      -0.8456255	       -1.923715
8.7500000000000e-003	       -0.733217	        -1.61291
1.0000000000000e-002	      -0.6104149	       -1.270806
1.1250000000000e-002	      -0.4847343	      -0.9102485
1.2500000000000e-002	      -0.3476787	      -0.5517862
1.3750000000000e-002	      -0.2091301	      -0.1725832
1.5000000000000e-002	     -0.06891802	       0.2144133
1.6250000000000e-002	      0.07137529	        0.579201
1.7500000000000e-002	       0.2099391	       0.9380096
1.8750000000000e-002	       0.3465139	        1.298201
2.0000000000000e-002	       0.4750557	        1.635659
2.1250000000000e-002	       0.6033287	        1.944384
2.2500000000000e-002	       0.7221332	        2.231968
2.3750000000000e-002	       0.8312637	        2.508151
2.5000000000000e-002	       0.9317407	        2.743318
2.6250000000000e-002	        1.021304	         2.93607
2.7500000000000e-002	        1.098349	        3.096142
2.8750000000000e-002	        1.162846	        3.231097
3.0000000000000e-002	        1.212056	        3.315395
3.1250000000000e-002	        1.245016	          3.3617
3.2500000000000e-002	        1.266737	        3.361307
3.3750000000000e-002	        1.267485	        3.307946
3.5000000000000e-002	        1.251396	        3.232632
3.6250000000000e-002	         1.21861	        3.034027
3.7500000000000e-002	        1.167139	        2.925369
3.8750000000000e-002	        1.102879	        2.734406
4.0000000000000e-002	        1.019032	        2.482685
4.1250000000000e-002	        0.934886	        2.222176
4.2500000000000e-002	       0.8347566	        1.934895
4.3750000000000e-002	       0.7231482	        1.597338
4.5000000000000e-002	       0.6060419	        1.260133
4.6250000000000e-002	       0.4826765	       0.9115645
4.7500000000000e-002	       0.3540126	       0.5524163
4.8750000000000e-002	        0.220695	        0.185893
5.0000000000000e-002	      0.08438886	      -0.1957043
5.1250000000000e-002	     -0.05398852	      -0.5577497
5.2500000000000e-002	      -0.1872357	      -0.9220214
5.3750000000000e-002	      -0.3221147	       -1.263289
5.5000000000000e-002	      -0.4534669	       -1.597958
5.6250000000000e-002	      -0.5805827	        -1.91491
5.7500000000000e-002	      -0.7012864	       -2.207276
5.8750000000000e-002	      -0.8134882	        -2.45815
6.0000000000000e-002	      -0.9196688	       -2.678876
6.1250000000000e-002	        -1.00693	       -2.891672
6.2500000000000e-002	       -1.084872	       -3.045738
6.3750000000000e-002	       -1.149014	       -3.135035
6.5000000000000e-002	       -1.196127	       -3.216636
6.6250000000000e-002	       -1.226568	       -3.237261
6.7500000000000e-002	       -1.239808	       -3.219233
6.8750000000000e-002	       -1.236073	       -3.163175
7.0000000000000e-002	       -1.212297	        -3.06121
7.1250000000000e-002	       -1.175117	       -2.915025
7.2500000000000e-002	       -1.115367	       -2.742647
7.3750000000000e-002	       -1.042026	        -2.52066
7.5000000000000e-002	      -0.9559497	       -2.264241
7.6250000000000e-002	      -0.8583759	        -2.01873
7.7500000000000e-002	      -0.7495198	       -1.665838
7.8750000000000e-002	      -0.6300952	        -1.33259
8.0000000000000e-002	      -0.5071389	      -0.9851912
8.1250000000000e-002	      -0.3718641	      -0.6232665
8.2500000000000e-002	      -0.2350061	      -0.2668733
8.3750000000000e-002	     -0.09647775	       0.1161436
8.5000000000000e-002	      0.04373599	       0.4867361
8.6250000000000e-002	       0.1847993	       0.8559312
8.7500000000000e-002	        0.323838	        1.209362
8.8750000000000e-002	       0.4573405	        1.548239
9.0000000000000e-002	       0.5858602	        1.876585
9.1250000000000e-002	       0.7043639	        2.186422
9.2500000000000e-002	       0.8189309	        2.463508
9.3750000000000e-002	       0.9219591	        2.709709
9.5000000000000e-002	        1.012779	        2.921282
9.6250000000000e-002	        1.090488	        3.093326
9.7500000000000e-002	         1.15482	        3.219315
9.8750000000000e-002	         1.20597	        3.316496
1.0000000000000e-001	        1.236022	        3.372939
1.0125000000000e-001	        1.258971	        3.370428
1.0250000000000e-001	        1.262588	        3.333337
1.0375000000000e-001	        1.246689	        3.257883
1.0500000000000e-001	        1.216738	        3.135391
1.0625000000000e-001	        1.171444	        2.988212
1.0750000000000e-001	        1.110201	        2.790065
1.0875000000000e-001	        1.035118	        2.558022
1.1000000000000e-001	        0.947124	        2.302537
