Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	     -0.05198602	      -0.3115516
1.2500000000000e-003	     -0.04006731	     -0.09910048
2.5000000000000e-003	     -0.03061192	       0.1109526
3.7500000000000e-003	     -0.02094141	        0.317146
5.0000000000000e-003	     -0.01284133	       0.5309361
6.2500000000000e-003	    -0.002973114	       0.7476462
7.5000000000000e-003	     0.004885365	       0.9459029
8.7500000000000e-003	      0.01275637	        1.125942
1.0000000000000e-002	      0.02468477	        1.298505
1.1250000000000e-002	      0.03286651	        1.454864
1.2500000000000e-002	      0.04218888	        1.589098
1.3750000000000e-002	      0.05119836	        1.722532
1.5000000000000e-002	      0.06262004	        1.814934
1.6250000000000e-002	      0.07266251	        1.904845
1.7500000000000e-002	      0.08327464	        1.960982
1.8750000000000e-002	      0.09137003	        2.000998
2.0000000000000e-002	       0.1005196	        2.016581
2.1250000000000e-002	       0.1109749	        1.997495
2.2500000000000e-002	       0.1163487	        1.956951
2.3750000000000e-002	       0.1209508	        1.894338
2.5000000000000e-002	       0.1223628	        1.805783
2.6250000000000e-002	       0.1252445	         1.69711
2.7500000000000e-002	       0.1222499	        1.575363
2.8750000000000e-002	       0.1193244	        1.419083
3.0000000000000e-002	       0.1237658	        1.257329
3.1250000000000e-002	        0.118883	        1.094407
3.2500000000000e-002	       0.1164206	       0.9106864
3.3750000000000e-002	       0.1130015	       0.6958466
3.5000000000000e-002	       0.1102217	       0.4938949
3.6250000000000e-002	        0.104515	       0.2679572
3.7500000000000e-002	      0.09920338	      0.04993828
3.8750000000000e-002	      0.09039657	       -0.165352
4.0000000000000e-002	      0.08365424	      -0.3774167
4.1250000000000e-002	      0.07711114	      -0.5906052
4.2500000000000e-002	      0.06618147	      -0.7936922
4.3750000000000e-002	      0.05496392	      -0.9814181
4.5000000000000e-002	      0.03985628	       -1.161994
4.6250000000000e-002	      0.02600474	       -1.329061
4.7500000000000e-002	      0.01005511	       -1.469588
4.8750000000000e-002	    -0.006743122	       -1.593683
5.0000000000000e-002	     -0.01814532	       -1.698872
5.1250000000000e-002	     -0.03330491	       -1.770138
5.2500000000000e-002	     -0.04689042	        -1.83298
5.3750000000000e-002	     -0.05947405	       -1.861131
5.5000000000000e-002	     -0.06753332	       -1.877568
5.6250000000000e-002	     -0.07734566	       -1.851451
5.7500000000000e-002	     -0.08169881	       -1.804069
5.8750000000000e-002	     -0.08633839	       -1.759049
6.0000000000000e-002	     -0.08911535	       -1.673016
6.1250000000000e-002	     -0.08665393	       -1.578985
6.2500000000000e-002	     -0.08627096	        -1.44854
6.3750000000000e-002	     -0.08221472	       -1.306514
6.5000000000000e-002	     -0.07960351	       -1.143451
6.6250000000000e-002	     -0.07324518	      -0.9716844
6.7500000000000e-002	     -0.06779619	      -0.7814639
6.8750000000000e-002	     -0.06171161	      -0.5772132
7.0000000000000e-002	     -0.05211565	      -0.3814295
7.1250000000000e-002	     -0.04550716	      -0.1710333
7.2500000000000e-002	     -0.03651545	      0.04629246
7.3750000000000e-002	      -0.0279666	        0.258411
7.5000000000000e-002	     -0.01610824	       0.4894872
7.6250000000000e-002	    -0.007076034	       0.6965347
7.7500000000000e-002	     0.004262663	        0.882381
7.8750000000000e-002	      0.01268594	        1.060143
8.0000000000000e-002	      0.02248219	        1.225056
8.1250000000000e-002	      0.03470922	        1.396175
8.2500000000000e-002	      0.04380447	        1.534075
8.3750000000000e-002	      0.05466459	        1.660888
8.5000000000000e-002	      0.06211108	        1.773636
8.6250000000000e-002	      0.07264756	        1.851059
8.7500000000000e-002	       0.0781871	        1.907001
8.8750000000000e-002	      0.08480301	        1.940653
9.0000000000000e-002	      0.09718975	        1.955822
9.1250000000000e-002	       0.1025892	        1.951221
9.2500000000000e-002	        0.108241	        1.920084
9.3750000000000e-002	       0.1133235	        1.851457
9.5000000000000e-002	       0.1185505	        1.764881
9.6250000000000e-002	       0.1212633	        1.667872
9.7500000000000e-002	        0.124103	        1.545204
9.8750000000000e-002	       0.1219829	        1.393505
1.0000000000000e-001	       0.1236084	        1.232314
1.0125000000000e-001	       0.1247919	        1.058801
1.0250000000000e-001	       0.1222714	       0.8713435
1.0375000000000e-001	       0.1199855	       0.6791474
1.0500000000000e-001	         0.11438	       0.4778534
1.0625000000000e-001	       0.1098594	        0.271764
1.0750000000000e-001	      0.09985249	      0.05779861
