Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	        1.358025	      -0.2178234
1.2500000000000e-003	        1.354663	      -0.2216157
2.5000000000000e-003	        1.338719	      -0.2180443
3.7500000000000e-003	        1.312051	      -0.2097791
5.0000000000000e-003	        1.275508	      -0.2035818
6.2500000000000e-003	        1.223649	      -0.1967138
7.5000000000000e-003	        1.166663	      -0.1699548
8.7500000000000e-003	        1.096151	      -0.1565855
1.0000000000000e-002	        1.014907	      -0.1403642
1.1250000000000e-002	        0.926876	       -0.114357
1.2500000000000e-002	        0.831159	     -0.08133189
1.3750000000000e-002	        0.729119	     -0.04686393
1.5000000000000e-002	       0.6200141	     -0.01154272
1.6250000000000e-002	       0.5073738	      0.02022712
1.7500000000000e-002	       0.3846036	      0.05001236
1.8750000000000e-002	       0.2623994	      0.06853942
2.0000000000000e-002	        0.136949	       0.1037916
2.1250000000000e-002	     0.008280854	       0.1325421
2.2500000000000e-002	      -0.1206467	       0.1720308
2.3750000000000e-002	      -0.2507156	       0.2068472
2.5000000000000e-002	      -0.3768326	       0.2379255
2.6250000000000e-002	      -0.5026517	       0.2612654
2.7500000000000e-002	      -0.6188877	        0.288762
2.8750000000000e-002	      -0.7309961	       0.3262033
3.0000000000000e-002	      -0.8396321	       0.3334352
3.1250000000000e-002	      -0.9391438	       0.3608264
3.2500000000000e-002	       -1.028694	       0.3926652
3.3750000000000e-002	       -1.108377	       0.4074025
3.5000000000000e-002	       -1.178731	       0.4314019
3.6250000000000e-002	       -1.237362	       0.4517696
3.7500000000000e-002	       -1.287666	       0.4812066
3.8750000000000e-002	       -1.321783	       0.4812331
4.0000000000000e-002	       -1.346615	       0.4768568
4.1250000000000e-002	       -1.360032	       0.4815187
4.2500000000000e-002	       -1.359323	       0.4916374
4.3750000000000e-002	       -1.347179	       0.4904934
4.5000000000000e-002	       -1.321046	       0.4827854
4.6250000000000e-002	       -1.288825	       0.4702609
4.7500000000000e-002	        -1.23462	       0.4574891
4.8750000000000e-002	       -1.172024	        0.461807
5.0000000000000e-002	        -1.10203	       0.4429746
5.1250000000000e-002	       -1.020063	       0.4207461
5.2500000000000e-002	      -0.9276308	       0.4072757
5.3750000000000e-002	      -0.8262565	       0.3948188
5.5000000000000e-002	      -0.7172442	       0.3701413
5.6250000000000e-002	      -0.6035831	       0.3342799
5.7500000000000e-002	      -0.4836267	       0.3034793
5.8750000000000e-002	      -0.3534198	       0.2724732
6.0000000000000e-002	      -0.2244576	       0.2370757
6.1250000000000e-002	     -0.09269633	        0.198791
6.2500000000000e-002	      0.03923517	       0.1652766
6.3750000000000e-002	       0.1699859	       0.1212861
6.5000000000000e-002	       0.3009387	      0.07504256
6.6250000000000e-002	        0.423916	       0.0430209
6.7500000000000e-002	       0.5517119	     0.001047798
6.8750000000000e-002	       0.6724525	      -0.0441874
7.0000000000000e-002	       0.7853452	     -0.07130138
7.1250000000000e-002	       0.8930698	     -0.09563073
7.2500000000000e-002	       0.9938623	      -0.1226816
7.3750000000000e-002	        1.086066	      -0.1390903
7.5000000000000e-002	         1.16797	      -0.1684233
7.6250000000000e-002	         1.24105	      -0.1938692
7.7500000000000e-002	        1.300821	      -0.2147499
7.8750000000000e-002	        1.353915	      -0.2471313
8.0000000000000e-002	        1.392618	      -0.2611278
8.1250000000000e-002	         1.41841	      -0.2700958
8.2500000000000e-002	        1.431689	      -0.2637958
8.3750000000000e-002	        1.432396	      -0.2577513
8.5000000000000e-002	        1.421014	      -0.2680506
8.6250000000000e-002	         1.39416	      -0.2625816
8.7500000000000e-002	        1.360722	      -0.2635718
8.8750000000000e-002	         1.31347	      -0.2432806
9.0000000000000e-002	        1.253262	      -0.2270527
9.1250000000000e-002	        1.183488	      -0.2020382
9.2500000000000e-002	        1.104462	       -0.178155
9.3750000000000e-002	        1.017092	      -0.1510583
9.5000000000000e-002	       0.9214059	      -0.1266264
9.6250000000000e-002	       0.8190255	      -0.1011556
9.7500000000000e-002	       0.7037535	     -0.08914406
9.8750000000000e-002	       0.5886712	     -0.04110965
1.0000000000000e-001	       0.4662857	    -0.005383522
1.0125000000000e-001	        0.340153	      0.03177707
1.0250000000000e-001	       0.2107217	      0.07071788
1.0375000000000e-001	      0.07839893	       0.0964964
1.0500000000000e-001	     -0.05284421	       0.1311434
1.0625000000000e-001	      -0.1868655	       0.1768081
