Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
1.3250000000000e-001	       0.2705498	      -0.7781764
1.3375000000000e-001	       0.2231038	      -0.6186441
1.3500000000000e-001	       0.1736242	      -0.4648938
1.3625000000000e-001	       0.1196093	      -0.3009788
1.3750000000000e-001	      0.06515152	      -0.1211188
1.3875000000000e-001	     0.009691042	      0.06321358
1.4000000000000e-001	     -0.04758475	       0.2375513
1.4125000000000e-001	     -0.09944517	       0.4002021
1.4250000000000e-001	      -0.1548419	       0.5697207
1.4375000000000e-001	      -0.2066289	       0.7524416
1.4500000000000e-001	      -0.2558052	       0.9199585
1.4625000000000e-001	      -0.3003577	        1.053992
1.4750000000000e-001	      -0.3407126	        1.195514
1.4875000000000e-001	      -0.3771868	        1.312481
1.5000000000000e-001	       -0.409544	        1.421856
1.5125000000000e-001	       -0.436401	        1.526359
1.5250000000000e-001	      -0.4538821	        1.609687
1.5375000000000e-001	      -0.4682938	        1.669757
1.5500000000000e-001	      -0.4765717	          1.7041
1.5625000000000e-001	      -0.4804181	        1.730886
1.5750000000000e-001	      -0.4763198	          1.7423
1.5875000000000e-001	      -0.4678724	          1.7216
1.6000000000000e-001	      -0.4560908	        1.687753
1.6125000000000e-001	      -0.4279626	        1.634635
1.6250000000000e-001	      -0.4012451	        1.559965
1.6375000000000e-001	      -0.3678645	        1.466121
1.6500000000000e-001	      -0.3290572	        1.377834
1.6625000000000e-001	      -0.2845761	        1.261485
1.6750000000000e-001	      -0.2369374	        1.119147
1.6875000000000e-001	       -0.184825	       0.9884937
1.7000000000000e-001	      -0.1328434	       0.8369214
1.7125000000000e-001	      -0.0757023	       0.6662676
1.7250000000000e-001	     -0.01436333	       0.4937885
1.7375000000000e-001	      0.04248912	        0.322963
1.7500000000000e-001	       0.1005596	       0.1512389
1.7625000000000e-001	       0.1560464	     -0.01966113
1.7750000000000e-001	       0.2098743	      -0.2006281
1.7875000000000e-001	       0.2606223	      -0.3719305
1.8000000000000e-001	       0.3049459	      -0.5475529
1.8125000000000e-001	       0.3550685	      -0.7110476
1.8250000000000e-001	        0.393932	      -0.8557218
1.8375000000000e-001	       0.4290546	        -1.00726
1.8500000000000e-001	        0.459254	       -1.102004
1.8625000000000e-001	       0.4858239	       -1.206625
1.8750000000000e-001	       0.5049433	        -1.30771
1.8875000000000e-001	       0.5195107	       -1.385867
