Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	       -3.161702	       -1.475413
1.2500000000000e-003	       -2.951609	         -1.3494
2.5000000000000e-003	       -2.693588	       -1.216538
3.7500000000000e-003	       -2.393573	       -1.060742
5.0000000000000e-003	       -2.056121	      -0.8794351
6.2500000000000e-003	       -1.688683	      -0.7002027
7.5000000000000e-003	       -1.292133	      -0.5024769
8.7500000000000e-003	      -0.8704491	      -0.2895888
1.0000000000000e-002	      -0.4391891	     -0.06313554
1.1250000000000e-002	     0.001601371	        0.152508
1.2500000000000e-002	       0.4418502	        0.375436
1.3750000000000e-002	        0.877037	       0.5891282
1.5000000000000e-002	         1.29892	       0.8040917
1.6250000000000e-002	        1.698785	        1.010419
1.7500000000000e-002	        2.082391	         1.19041
1.8750000000000e-002	        2.429392	        1.362502
2.0000000000000e-002	        2.738765	         1.50889
2.1250000000000e-002	        3.006084	        1.622679
2.2500000000000e-002	        3.228392	          1.7218
2.3750000000000e-002	        3.399984	        1.790679
2.5000000000000e-002	         3.51879	        1.852448
2.6250000000000e-002	        3.581049	        1.862515
2.7500000000000e-002	        3.584542	         1.84601
2.8750000000000e-002	        3.534316	        1.807739
3.0000000000000e-002	        3.424351	        1.742093
3.1250000000000e-002	        3.260848	        1.662585
3.2500000000000e-002	        3.042669	         1.53311
3.3750000000000e-002	        2.777456	        1.400846
3.5000000000000e-002	        2.467281	        1.240932
3.6250000000000e-002	        2.116984	        1.050375
3.7500000000000e-002	        1.739332	       0.8532073
3.8750000000000e-002	        1.330632	       0.6557951
4.0000000000000e-002	       0.9029069	       0.4210201
4.1250000000000e-002	       0.4621427	         0.20259
4.2500000000000e-002	      0.01775686	    -0.008189757
4.3750000000000e-002	      -0.4264166	      -0.2339051
4.5000000000000e-002	      -0.8614341	       -0.452141
4.6250000000000e-002	       -1.282148	      -0.6650886
4.7500000000000e-002	       -1.684002	      -0.8563606
4.8750000000000e-002	       -2.052996	       -1.043983
5.0000000000000e-002	       -2.391919	       -1.206524
5.1250000000000e-002	       -2.691392	        -1.35834
5.2500000000000e-002	       -2.950577	       -1.465854
5.3750000000000e-002	        -3.16229	       -1.562293
5.5000000000000e-002	       -3.323529	       -1.638879
5.6250000000000e-002	       -3.436184	       -1.678617
5.7500000000000e-002	       -3.485912	       -1.699906
5.8750000000000e-002	       -3.486781	       -1.688032
6.0000000000000e-002	       -3.431871	       -1.638684
6.1250000000000e-002	       -3.323433	       -1.575842
6.2500000000000e-002	       -3.161177	       -1.481931
6.3750000000000e-002	       -2.950641	       -1.363756
6.5000000000000e-002	       -2.692885	       -1.230765
6.6250000000000e-002	       -2.395495	       -1.072176
6.7500000000000e-002	       -2.057194	      -0.8973171
6.8750000000000e-002	       -1.683453	       -0.693393
7.0000000000000e-002	       -1.287256	      -0.4917159
7.1250000000000e-002	      -0.8692234	      -0.2802563
7.2500000000000e-002	       -0.439256	     -0.06415426
7.3750000000000e-002	    0.0003515987	       0.1676335
7.5000000000000e-002	       0.4391348	       0.3898617
7.6250000000000e-002	       0.8704221	       0.6054253
7.7500000000000e-002	        1.299644	       0.8197925
7.8750000000000e-002	        1.702582	        1.013417
8.0000000000000e-002	        2.081118	        1.193278
8.1250000000000e-002	         2.42813	        1.362909
8.2500000000000e-002	        2.739876	        1.496502
8.3750000000000e-002	        3.008244	        1.619946
8.5000000000000e-002	        3.231716	        1.728967
8.6250000000000e-002	        3.403158	        1.804889
8.7500000000000e-002	        3.519126	         1.83803
8.8750000000000e-002	        3.584573	        1.845604
9.0000000000000e-002	        3.589249	        1.837204
9.1250000000000e-002	        3.536563	        1.799158
9.2500000000000e-002	        3.425299	        1.732554
9.3750000000000e-002	        3.260549	        1.641853
9.5000000000000e-002	        3.042993	        1.509818
9.6250000000000e-002	        2.776694	        1.357952
9.7500000000000e-002	        2.470533	        1.193407
9.8750000000000e-002	        2.120542	        1.002839
1.0000000000000e-001	        1.739722	       0.8106909
1.0125000000000e-001	        1.332461	       0.6073868
1.0250000000000e-001	        0.906897	       0.3980743
1.0375000000000e-001	       0.4667021	       0.1830376
1.0500000000000e-001	      0.02196681	     -0.04390804
1.0625000000000e-001	      -0.4228276	      -0.2566112
1.0750000000000e-001	      -0.8614813	      -0.4617595
1.0875000000000e-001	       -1.280219	      -0.6740317
1.1000000000000e-001	       -1.679548	      -0.8697399
