Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	       -2.033582	       0.3235603
1.2500000000000e-003	       -2.153458	       0.3340202
2.5000000000000e-003	       -2.253413	       0.3321169
3.7500000000000e-003	       -2.346743	       0.3403198
5.0000000000000e-003	       -2.422128	       0.3441115
6.2500000000000e-003	       -2.482238	       0.3443074
7.5000000000000e-003	       -2.525372	        0.346243
8.7500000000000e-003	       -2.554359	       0.3528679
1.0000000000000e-002	       -2.566854	       0.3554554
1.1250000000000e-002	       -2.566306	       0.3573435
1.2500000000000e-002	       -2.541837	       0.3466355
1.3750000000000e-002	       -2.502624	       0.3480935
1.5000000000000e-002	       -2.451908	       0.3499627
1.6250000000000e-002	       -2.383461	       0.3420044
1.7500000000000e-002	       -2.303951	       0.3294574
1.8750000000000e-002	       -2.205948	       0.3066572
2.0000000000000e-002	        -2.10338	        0.298925
2.1250000000000e-002	       -1.979056	       0.2921224
2.2500000000000e-002	       -1.834741	       0.2721465
2.3750000000000e-002	       -1.690509	       0.2635984
2.5000000000000e-002	       -1.531209	       0.2550307
2.6250000000000e-002	        -1.36329	       0.2548688
2.7500000000000e-002	       -1.184851	       0.2243018
2.8750000000000e-002	      -0.9995676	       0.2053598
3.0000000000000e-002	      -0.8077581	       0.1919163
3.1250000000000e-002	      -0.6143717	       0.1789258
3.2500000000000e-002	      -0.4090438	       0.1689179
3.3750000000000e-002	       -0.202961	        0.133148
3.5000000000000e-002	     0.001572848	       0.1044878
3.6250000000000e-002	       0.2065619	      0.09105653
3.7500000000000e-002	       0.4074234	      0.06667711
3.8750000000000e-002	       0.6095509	      0.05227613
4.0000000000000e-002	       0.8025357	      0.01852083
4.1250000000000e-002	       0.9939193	     0.003418582
4.2500000000000e-002	        1.184971	     -0.01310491
4.3750000000000e-002	        1.361173	     -0.03585352
4.5000000000000e-002	        1.532777	      -0.0473134
4.6250000000000e-002	         1.69409	     -0.05956059
4.7500000000000e-002	        1.846796	     -0.08478253
4.8750000000000e-002	        1.986688	      -0.1005649
5.0000000000000e-002	         2.11683	     -0.09577807
5.1250000000000e-002	        2.230264	      -0.1181673
5.2500000000000e-002	        2.333322	      -0.1304256
5.3750000000000e-002	        2.423896	      -0.1518825
5.5000000000000e-002	        2.496129	       -0.153301
5.6250000000000e-002	        2.554578	      -0.1443957
5.7500000000000e-002	        2.595421	      -0.1512559
5.8750000000000e-002	        2.622379	      -0.1502542
6.0000000000000e-002	        2.629966	      -0.1541504
6.1250000000000e-002	        2.626231	      -0.1591155
6.2500000000000e-002	        2.607454	      -0.1579077
6.3750000000000e-002	        2.569342	      -0.1474416
6.5000000000000e-002	        2.518749	      -0.1488587
6.6250000000000e-002	        2.452056	      -0.1390031
6.7500000000000e-002	        2.372767	       -0.135103
6.8750000000000e-002	        2.277026	      -0.1186955
7.0000000000000e-002	        2.172608	      -0.1070886
7.1250000000000e-002	        2.047461	     -0.09227486
7.2500000000000e-002	        1.914136	     -0.06233568
7.3750000000000e-002	        1.772559	     -0.05735718
7.5000000000000e-002	        1.615425	     -0.03257371
7.6250000000000e-002	        1.449945	    -0.004118462
7.7500000000000e-002	        1.273033	      0.01110958
7.8750000000000e-002	        1.090653	      0.04139601
8.0000000000000e-002	       0.8988288	       0.0649552
8.1250000000000e-002	       0.7053285	      0.08423022
8.2500000000000e-002	       0.5088687	      0.09801929
8.3750000000000e-002	        0.304513	       0.1162456
8.5000000000000e-002	       0.1011714	        0.136098
8.6250000000000e-002	      -0.1027716	        0.162713
8.7500000000000e-002	      -0.3043133	       0.1804694
8.8750000000000e-002	      -0.5053593	       0.2080519
9.0000000000000e-002	      -0.7003663	       0.2311036
9.1250000000000e-002	      -0.8957375	       0.2553185
9.2500000000000e-002	       -1.082853	       0.2777158
9.3750000000000e-002	       -1.261559	        0.286706
9.5000000000000e-002	       -1.435389	       0.3172868
9.6250000000000e-002	        -1.59917	        0.340418
9.7500000000000e-002	       -1.755279	       0.3537888
9.8750000000000e-002	       -1.896874	        0.358598
1.0000000000000e-001	       -2.033412	       0.3721076
1.0125000000000e-001	       -2.151981	       0.3806524
1.0250000000000e-001	       -2.253077	       0.3921849
1.0375000000000e-001	       -2.346157	       0.3861308
1.0500000000000e-001	       -2.421239	       0.3906861
1.0625000000000e-001	       -2.481987	       0.3922337
1.0750000000000e-001	       -2.525474	       0.3881499
