Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	        0.498881
1.9531250000000e-004	       0.4940749
3.9062500000000e-004	       0.5106604
5.8593750000000e-004	       0.5232918
7.8125000000000e-004	       0.5296962
9.7656250000000e-004	       0.5348503
1.1718750000000e-003	       0.5348503
1.3671875000000e-003	       0.5483636
1.5625000000000e-003	       0.5684827
1.7578125000000e-003	       0.5769248
1.9531250000000e-003	       0.5602918
2.1484375000000e-003	       0.5913505
2.3437500000000e-003	       0.5998041
2.5390625000000e-003	       0.6242374
2.7343750000000e-003	       0.6162628
2.9296875000000e-003	       0.6273612
3.1250000000000e-003	        0.629833
3.3203125000000e-003	       0.6346742
3.5156250000000e-003	       0.6452916
3.7109375000000e-003	       0.6535942
3.9062500000000e-003	        0.659474
4.1015625000000e-003	       0.6590803
4.2968750000000e-003	       0.6666804
4.4921875000000e-003	       0.6719951
4.6875000000000e-003	       0.6695322
4.8828125000000e-003	       0.6754811
5.0781250000000e-003	        0.686838
5.2734375000000e-003	        0.703231
5.4687500000000e-003	       0.7141503
5.6640625000000e-003	       0.7184113
5.8593750000000e-003	       0.7194977
6.0546875000000e-003	       0.7245629
6.2500000000000e-003	       0.7241295
6.4453125000000e-003	       0.7305512
6.6406250000000e-003	        0.737461
6.8359375000000e-003	       0.7467928
7.0312500000000e-003	       0.7398449
7.2265625000000e-003	       0.7432058
7.4218750000000e-003	       0.7586691
7.6171875000000e-003	       0.7493866
7.8125000000000e-003	       0.7611271
8.0078125000000e-003	       0.7690444
8.2031250000000e-003	       0.7676557
8.3984375000000e-003	       0.7678658
8.5937500000000e-003	       0.7772186
8.7890625000000e-003	       0.7879938
8.9843750000000e-003	       0.7879938
9.1796875000000e-003	       0.7987378
9.3750000000000e-003	       0.8039669
9.5703125000000e-003	       0.8132285
9.7656250000000e-003	        0.798614
9.9609375000000e-003	        0.799148
1.0156250000000e-002	       0.8113687
1.0351562500000e-002	       0.8111234
1.0546875000000e-002	       0.8192941
1.0742187500000e-002	       0.8202605
1.0937500000000e-002	       0.8333849
1.1132812500000e-002	       0.8348023
1.1328125000000e-002	       0.8255038
1.1523437500000e-002	       0.8291759
1.1718750000000e-002	       0.8368617
1.1914062500000e-002	       0.8335905
1.2109375000000e-002	       0.8232622
1.2304687500000e-002	       0.8290449
1.2500000000000e-002	       0.8433404
1.2695312500000e-002	       0.8394052
1.2890625000000e-002	       0.8332128
1.3085937500000e-002	        0.837442
1.3281250000000e-002	       0.8340199
1.3476562500000e-002	       0.8472777
1.3671875000000e-002	       0.8468367
1.3867187500000e-002	       0.8454469
1.4062500000000e-002	       0.8469876
1.4257812500000e-002	       0.8381414
1.4453125000000e-002	       0.8386867
1.4648437500000e-002	       0.8412782
1.4843750000000e-002	       0.8360545
1.5039062500000e-002	       0.8352952
1.5234375000000e-002	        0.844881
1.5429687500000e-002	       0.8486996
1.5625000000000e-002	       0.8429578
1.5820312500000e-002	       0.8305778
1.6015625000000e-002	       0.8356511
1.6210937500000e-002	       0.8367036
1.6406250000000e-002	       0.8417156
1.6601562500000e-002	       0.8518195
1.6796875000000e-002	       0.8471487
1.6992187500000e-002	       0.8522035
1.7187500000000e-002	       0.8380273
1.7382812500000e-002	       0.8404477
1.7578125000000e-002	       0.8302032
1.7773437500000e-002	       0.8215344
1.7968750000000e-002	       0.8257469
1.8164062500000e-002	       0.8220166
1.8359375000000e-002	       0.8324925
1.8554687500000e-002	       0.8331784
1.8750000000000e-002	       0.8365231
1.8945312500000e-002	       0.8305134
1.9140625000000e-002	       0.8307307
1.9335937500000e-002	       0.8317305
1.9531250000000e-002	       0.8278344
1.9726562500000e-002	         0.82733
1.9921875000000e-002	       0.8151864
2.0117187500000e-002	       0.8158646
2.0312500000000e-002	        0.828792
2.0507812500000e-002	       0.8331504
2.0703125000000e-002	       0.8215703
2.0898437500000e-002	       0.8185754
2.1093750000000e-002	       0.8168567
2.1289062500000e-002	          0.8114
2.1484375000000e-002	       0.8236719
2.1679687500000e-002	       0.8204076
2.1875000000000e-002	       0.8137109
2.2070312500000e-002	       0.8184456
2.2265625000000e-002	        0.807016
2.2460937500000e-002	       0.8076525
2.2656250000000e-002	       0.7976386
2.2851562500000e-002	       0.7926286
2.3046875000000e-002	       0.7872381
2.3242187500000e-002	       0.7954588
2.3437500000000e-002	        0.798148
2.3632812500000e-002	       0.7923802
2.3828125000000e-002	       0.7847913
2.4023437500000e-002	       0.7818329
2.4218750000000e-002	       0.7862654
2.4414062500000e-002	        0.780311
2.4609375000000e-002	        0.787561
2.4804687500000e-002	       0.7798045
2.5000000000000e-002	       0.7700319
2.5195312500000e-002	       0.7719976
2.5390625000000e-002	        0.754236
2.5585937500000e-002	       0.7565613
2.5781250000000e-002	       0.7520985
2.5976562500000e-002	       0.7424638
2.6171875000000e-002	        0.733258
2.6367187500000e-002	       0.7279359
2.6562500000000e-002	       0.7265396
2.6757812500000e-002	       0.7112996
2.6953125000000e-002	       0.7064481
2.7148437500000e-002	        0.710719
2.7343750000000e-002	       0.6852786
2.7539062500000e-002	       0.6898433
2.7734375000000e-002	       0.6813881
2.7929687500000e-002	       0.6793915
2.8125000000000e-002	       0.6869802
2.8320312500000e-002	       0.6796239
2.8515625000000e-002	       0.6731207
2.8710937500000e-002	       0.6660348
2.8906250000000e-002	       0.6625057
2.9101562500000e-002	       0.6595066
2.9296875000000e-002	       0.6526013
2.9492187500000e-002	       0.6477518
2.9687500000000e-002	       0.6467723
2.9882812500000e-002	       0.6370536
