Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	       0.2782492
1.9531250000000e-004	       0.2673732
3.9062500000000e-004	       0.2738743
5.8593750000000e-004	       0.2727969
7.8125000000000e-004	       0.2670216
9.7656250000000e-004	       0.2639364
1.1718750000000e-003	       0.2639364
1.3671875000000e-003	       0.2661875
1.5625000000000e-003	       0.2601254
1.7578125000000e-003	       0.2572398
1.9531250000000e-003	       0.2700633
2.1484375000000e-003	       0.2559918
2.3437500000000e-003	       0.2548374
2.5390625000000e-003	       0.2481884
2.7343750000000e-003	       0.2529977
2.9296875000000e-003	       0.2554281
3.1250000000000e-003	       0.2628851
3.3203125000000e-003	       0.2717573
3.5156250000000e-003	       0.2664152
3.7109375000000e-003	       0.2669236
3.9062500000000e-003	       0.2666471
4.1015625000000e-003	       0.2567845
4.2968750000000e-003	       0.2595749
4.4921875000000e-003	       0.2674376
4.6875000000000e-003	       0.2695981
4.8828125000000e-003	       0.2674066
5.0781250000000e-003	       0.2628503
5.2734375000000e-003	       0.2588891
5.4687500000000e-003	       0.2685016
5.6640625000000e-003	       0.2595408
5.8593750000000e-003	       0.2723104
6.0546875000000e-003	       0.2615448
6.2500000000000e-003	       0.2546848
6.4453125000000e-003	       0.2667743
6.6406250000000e-003	       0.2667322
6.8359375000000e-003	       0.2630916
7.0312500000000e-003	       0.2629693
7.2265625000000e-003	       0.2667029
7.4218750000000e-003	       0.2720302
7.6171875000000e-003	       0.2714667
7.8125000000000e-003	       0.2711892
8.0078125000000e-003	        0.270565
8.2031250000000e-003	       0.2657338
8.3984375000000e-003	       0.2680241
8.5937500000000e-003	       0.2781159
8.7890625000000e-003	       0.2686127
8.9843750000000e-003	       0.2686127
9.1796875000000e-003	       0.2648909
9.3750000000000e-003	       0.2636704
9.5703125000000e-003	       0.2672029
9.7656250000000e-003	       0.2705108
9.9609375000000e-003	       0.2604085
1.0156250000000e-002	       0.2723365
1.0351562500000e-002	       0.2828265
1.0546875000000e-002	       0.2711267
1.0742187500000e-002	       0.2712095
1.0937500000000e-002	       0.2784261
1.1132812500000e-002	       0.2682981
1.1328125000000e-002	       0.2668899
1.1523437500000e-002	       0.2739677
1.1718750000000e-002	       0.2753794
1.1914062500000e-002	       0.2800488
1.2109375000000e-002	       0.2790497
1.2304687500000e-002	       0.2709086
1.2500000000000e-002	       0.2591862
1.2695312500000e-002	       0.2644667
1.2890625000000e-002	       0.2765832
1.3085937500000e-002	       0.2712135
1.3281250000000e-002	       0.2792968
1.3476562500000e-002	       0.2838357
1.3671875000000e-002	       0.2687659
1.3867187500000e-002	       0.2741831
1.4062500000000e-002	       0.2766206
1.4257812500000e-002	       0.2785493
1.4453125000000e-002	       0.2837386
1.4648437500000e-002	       0.2879322
1.4843750000000e-002	       0.2761974
1.5039062500000e-002	       0.2766724
1.5234375000000e-002	       0.2832412
1.5429687500000e-002	       0.2695671
1.5625000000000e-002	        0.272508
1.5820312500000e-002	       0.2743775
1.6015625000000e-002	       0.2710503
1.6210937500000e-002	       0.2786962
1.6406250000000e-002	       0.2735302
1.6601562500000e-002	       0.2846612
1.6796875000000e-002	       0.2770799
1.6992187500000e-002	       0.2793297
1.7187500000000e-002	       0.2800263
1.7382812500000e-002	       0.2889348
1.7578125000000e-002	       0.2895654
1.7773437500000e-002	        0.280884
1.7968750000000e-002	       0.2832878
1.8164062500000e-002	       0.2872219
1.8359375000000e-002	       0.2875951
1.8554687500000e-002	       0.2915745
1.8750000000000e-002	       0.2883039
1.8945312500000e-002	       0.2895437
1.9140625000000e-002	       0.2988591
1.9335937500000e-002	       0.2853294
1.9531250000000e-002	       0.2836708
1.9726562500000e-002	       0.2827383
1.9921875000000e-002	       0.2801746
2.0117187500000e-002	       0.2819678
2.0312500000000e-002	       0.2808808
2.0507812500000e-002	       0.2790863
2.0703125000000e-002	       0.2804435
2.0898437500000e-002	       0.2796289
2.1093750000000e-002	       0.2760933
2.1289062500000e-002	       0.2841054
2.1484375000000e-002	       0.2712129
2.1679687500000e-002	       0.2698052
2.1875000000000e-002	        0.280005
2.2070312500000e-002	       0.2739743
2.2265625000000e-002	       0.2777872
2.2460937500000e-002	       0.2779075
2.2656250000000e-002	       0.2815515
2.2851562500000e-002	       0.2721463
2.3046875000000e-002	       0.2636406
2.3242187500000e-002	       0.2596543
2.3437500000000e-002	       0.2553974
2.3632812500000e-002	       0.2701299
2.3828125000000e-002	       0.2723738
2.4023437500000e-002	        0.269302
2.4218750000000e-002	       0.2839635
2.4414062500000e-002	       0.2815644
2.4609375000000e-002	       0.2807808
2.4804687500000e-002	       0.2678557
2.5000000000000e-002	       0.2796014
2.5195312500000e-002	        0.268262
2.5390625000000e-002	       0.2623939
2.5585937500000e-002	       0.2656635
2.5781250000000e-002	       0.2675068
2.5976562500000e-002	       0.2634524
2.6171875000000e-002	       0.2580179
2.6367187500000e-002	       0.2611961
2.6562500000000e-002	       0.2543414
2.6757812500000e-002	       0.2593182
2.6953125000000e-002	       0.2700949
2.7148437500000e-002	       0.2793789
2.7343750000000e-002	       0.2706135
2.7539062500000e-002	       0.2792689
2.7734375000000e-002	       0.2803406
2.7929687500000e-002	       0.2726995
2.8125000000000e-002	        0.275297
2.8320312500000e-002	       0.2748743
2.8515625000000e-002	       0.2691122
2.8710937500000e-002	        0.266692
2.8906250000000e-002	       0.2661271
2.9101562500000e-002	       0.2600299
2.9296875000000e-002	       0.2591553
2.9492187500000e-002	       0.2631495
2.9687500000000e-002	       0.2717809
