Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	       0.1249685
1.9531250000000e-004	       0.1238129
3.9062500000000e-004	       0.1140154
5.8593750000000e-004	       0.1245161
7.8125000000000e-004	       0.1288981
9.7656250000000e-004	       0.1255556
1.1718750000000e-003	       0.1255556
1.3671875000000e-003	       0.1216189
1.5625000000000e-003	       0.1212695
1.7578125000000e-003	       0.1293552
1.9531250000000e-003	        0.127864
2.1484375000000e-003	       0.1280609
2.3437500000000e-003	       0.1240177
2.5390625000000e-003	       0.1286821
2.7343750000000e-003	       0.1237155
2.9296875000000e-003	       0.1330274
3.1250000000000e-003	       0.1208542
3.3203125000000e-003	       0.1221995
3.5156250000000e-003	       0.1128535
3.7109375000000e-003	       0.1222038
3.9062500000000e-003	       0.1244661
4.1015625000000e-003	       0.1250057
4.2968750000000e-003	       0.1194788
4.4921875000000e-003	       0.1257134
4.6875000000000e-003	       0.1245772
4.8828125000000e-003	       0.1313263
5.0781250000000e-003	        0.126601
5.2734375000000e-003	       0.1279152
5.4687500000000e-003	       0.1388349
5.6640625000000e-003	       0.1403883
5.8593750000000e-003	        0.153525
6.0546875000000e-003	       0.1407526
6.2500000000000e-003	       0.1442015
6.4453125000000e-003	       0.1517287
6.6406250000000e-003	       0.1610815
6.8359375000000e-003	       0.1549562
7.0312500000000e-003	       0.1450896
7.2265625000000e-003	       0.1432104
7.4218750000000e-003	       0.1505962
7.6171875000000e-003	       0.1441167
7.8125000000000e-003	       0.1544456
8.0078125000000e-003	       0.1553363
8.2031250000000e-003	       0.1501812
8.3984375000000e-003	         0.14646
8.5937500000000e-003	       0.1473742
8.7890625000000e-003	       0.1565109
8.9843750000000e-003	       0.1565109
9.1796875000000e-003	       0.1456808
9.3750000000000e-003	       0.1537802
9.5703125000000e-003	        0.151516
9.7656250000000e-003	       0.1514172
9.9609375000000e-003	       0.1554399
1.0156250000000e-002	       0.1604938
1.0351562500000e-002	       0.1687028
1.0546875000000e-002	        0.170728
1.0742187500000e-002	       0.1647102
1.0937500000000e-002	        0.176333
1.1132812500000e-002	       0.1917819
1.1328125000000e-002	       0.2073087
1.1523437500000e-002	        0.205324
1.1718750000000e-002	       0.1955511
1.1914062500000e-002	       0.1904987
1.2109375000000e-002	       0.1976906
1.2304687500000e-002	       0.2037662
1.2500000000000e-002	       0.2087528
1.2695312500000e-002	       0.2062008
1.2890625000000e-002	       0.2060539
1.3085937500000e-002	       0.2096994
1.3281250000000e-002	       0.2036325
1.3476562500000e-002	       0.2073433
1.3671875000000e-002	        0.215635
1.3867187500000e-002	       0.2131275
1.4062500000000e-002	       0.2250447
1.4257812500000e-002	       0.2310575
1.4453125000000e-002	       0.2259152
1.4648437500000e-002	       0.2331144
1.4843750000000e-002	       0.2364982
1.5039062500000e-002	        0.240687
1.5234375000000e-002	       0.2297527
1.5429687500000e-002	       0.2368147
1.5625000000000e-002	       0.2500913
1.5820312500000e-002	        0.252704
1.6015625000000e-002	       0.2439896
1.6210937500000e-002	       0.2553655
1.6406250000000e-002	       0.2469874
1.6601562500000e-002	       0.2527143
1.6796875000000e-002	       0.2650054
1.6992187500000e-002	       0.2609342
1.7187500000000e-002	        0.267413
1.7382812500000e-002	       0.2739144
1.7578125000000e-002	       0.2697466
1.7773437500000e-002	       0.2647475
1.7968750000000e-002	       0.2729587
1.8164062500000e-002	       0.2805144
1.8359375000000e-002	       0.2844747
1.8554687500000e-002	       0.2771677
1.8750000000000e-002	       0.2937771
1.8945312500000e-002	       0.2891776
1.9140625000000e-002	       0.2900639
1.9335937500000e-002	       0.2943094
1.9531250000000e-002	       0.2982055
1.9726562500000e-002	       0.2985132
1.9921875000000e-002	       0.3145575
2.0117187500000e-002	       0.3196258
2.0312500000000e-002	       0.3094028
2.0507812500000e-002	       0.3151413
2.0703125000000e-002	       0.3083058
2.0898437500000e-002	       0.3206132
2.1093750000000e-002	       0.3323975
2.1289062500000e-002	       0.3300112
2.1484375000000e-002	       0.3306666
2.1679687500000e-002	       0.3343996
2.1875000000000e-002	       0.3365014
2.2070312500000e-002	       0.3392246
2.2265625000000e-002	       0.3469348
2.2460937500000e-002	        0.347412
2.2656250000000e-002	       0.3544783
2.2851562500000e-002	       0.3509418
2.3046875000000e-002	       0.3706702
2.3242187500000e-002	       0.3671314
2.3437500000000e-002	       0.3633134
2.3632812500000e-002	       0.3510104
2.3828125000000e-002	       0.3545605
2.4023437500000e-002	       0.3658996
2.4218750000000e-002	       0.3678719
2.4414062500000e-002	       0.3723464
2.4609375000000e-002	       0.3874919
2.4804687500000e-002	       0.3881244
2.5000000000000e-002	       0.3806222
2.5195312500000e-002	        0.386908
2.5390625000000e-002	       0.3971945
2.5585937500000e-002	        0.395441
2.5781250000000e-002	       0.3883728
2.5976562500000e-002	       0.3942978
2.6171875000000e-002	       0.4048703
2.6367187500000e-002	       0.4056779
2.6562500000000e-002	       0.4132346
2.6757812500000e-002	        0.412809
2.6953125000000e-002	        0.409627
2.7148437500000e-002	       0.4129243
2.7343750000000e-002	       0.4118975
2.7539062500000e-002	       0.4067786
2.7734375000000e-002	       0.4206118
2.7929687500000e-002	       0.4201241
2.8125000000000e-002	       0.4162729
2.8320312500000e-002	       0.4248107
2.8515625000000e-002	       0.4274372
2.8710937500000e-002	       0.4244611
2.8906250000000e-002	       0.4340711
2.9101562500000e-002	       0.4306348
2.9296875000000e-002	       0.4356113
2.9492187500000e-002	       0.4377816
2.9687500000000e-002	        0.444976
2.9882812500000e-002	       0.4441249
