Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	       0.3047777
3.1250000000000e-004	       0.3057843
6.2500000000000e-004	       0.3025911
9.3750000000000e-004	       0.3130693
1.2500000000000e-003	       0.2999667
1.5625000000000e-003	       0.2929426
1.8750000000000e-003	       0.2902557
2.1875000000000e-003	       0.2993743
2.5000000000000e-003	       0.2939893
2.8125000000000e-003	       0.2948355
3.1250000000000e-003	       0.2948355
3.4375000000000e-003	       0.3007877
3.7500000000000e-003	       0.3007322
4.0625000000000e-003	       0.2950665
4.3750000000000e-003	       0.2917714
4.6875000000000e-003	       0.2838702
5.0000000000000e-003	       0.2901183
5.3125000000000e-003	       0.2875072
5.6250000000000e-003	       0.2983074
5.9375000000000e-003	       0.2933859
6.2500000000000e-003	       0.2994986
6.5625000000000e-003	       0.2955336
6.8750000000000e-003	        0.283261
7.1875000000000e-003	        0.285267
7.5000000000000e-003	       0.2817276
7.8125000000000e-003	       0.2711506
8.1250000000000e-003	       0.2758396
8.4375000000000e-003	       0.2832301
8.7500000000000e-003	        0.282196
9.0625000000000e-003	       0.2916227
9.3750000000000e-003	       0.2898686
9.6875000000000e-003	       0.2911504
1.0000000000000e-002	       0.2863533
1.0312500000000e-002	       0.2854169
1.0625000000000e-002	        0.283019
1.0937500000000e-002	       0.2888584
1.1250000000000e-002	       0.2906564
1.1562500000000e-002	       0.2888777
1.1875000000000e-002	       0.2893349
1.2187500000000e-002	       0.2884237
1.2500000000000e-002	       0.2864778
1.2812500000000e-002	       0.2858715
1.3125000000000e-002	       0.2972816
1.3437500000000e-002	       0.2921224
1.3750000000000e-002	       0.2915827
1.4062500000000e-002	       0.3019159
1.4375000000000e-002	       0.3118679
1.4687500000000e-002	       0.2974692
1.5000000000000e-002	       0.2968324
1.5312500000000e-002	       0.2953446
1.5625000000000e-002	       0.2843915
1.5937500000000e-002	        0.295417
1.6250000000000e-002	       0.2976775
1.6562500000000e-002	       0.2996132
1.6875000000000e-002	        0.309321
1.7187500000000e-002	       0.3089849
1.7500000000000e-002	       0.3131034
1.7812500000000e-002	       0.3145842
1.8125000000000e-002	        0.312387
1.8437500000000e-002	       0.3171278
1.8750000000000e-002	       0.3104447
1.9062500000000e-002	       0.3160513
1.9375000000000e-002	       0.3112521
1.9687500000000e-002	       0.3087699
2.0000000000000e-002	        0.302243
2.0312500000000e-002	       0.3048345
2.0625000000000e-002	       0.3091091
2.0937500000000e-002	       0.3107329
2.1250000000000e-002	       0.3123851
2.1562500000000e-002	       0.3078586
2.1875000000000e-002	       0.3193144
2.2187500000000e-002	        0.320605
2.2500000000000e-002	       0.3176572
2.2812500000000e-002	       0.3135988
2.3125000000000e-002	       0.3186335
2.3437500000000e-002	       0.3245263
2.3750000000000e-002	       0.3250925
2.4062500000000e-002	       0.3336508
2.4375000000000e-002	       0.3268342
2.4687500000000e-002	        0.328654
2.5000000000000e-002	       0.3285971
2.5312500000000e-002	       0.3324072
2.5625000000000e-002	       0.3345911
2.5937500000000e-002	       0.3327172
2.6250000000000e-002	        0.329071
2.6562500000000e-002	       0.3264613
2.6875000000000e-002	       0.3312931
2.7187500000000e-002	       0.3278853
2.7500000000000e-002	       0.3215205
2.7812500000000e-002	        0.325525
2.8125000000000e-002	       0.3247068
2.8437500000000e-002	       0.3318815
2.8750000000000e-002	       0.3289137
2.9062500000000e-002	       0.3268816
2.9375000000000e-002	        0.323625
2.9687500000000e-002	       0.3255736
3.0000000000000e-002	       0.3377932
3.0312500000000e-002	       0.3370431
3.0625000000000e-002	       0.3239395
3.0937500000000e-002	       0.3227046
3.1250000000000e-002	       0.3252047
3.1562500000000e-002	       0.3266598
3.1875000000000e-002	       0.3263252
3.2187500000000e-002	       0.3259071
3.2500000000000e-002	       0.3271807
3.2812500000000e-002	       0.3346643
3.3125000000000e-002	       0.3359786
3.3437500000000e-002	       0.3309879
3.3750000000000e-002	        0.324091
3.4062500000000e-002	       0.3249085
3.4375000000000e-002	        0.325758
3.4687500000000e-002	       0.3225369
3.5000000000000e-002	       0.3105062
3.5312500000000e-002	        0.308868
3.5625000000000e-002	       0.3139663
3.5937500000000e-002	       0.3096065
3.6250000000000e-002	       0.3104246
3.6562500000000e-002	       0.3061536
3.6875000000000e-002	       0.3194569
3.7187500000000e-002	       0.3139716
3.7500000000000e-002	       0.3045565
3.7812500000000e-002	         0.32542
3.8125000000000e-002	        0.322225
3.8437500000000e-002	       0.3162807
3.8750000000000e-002	       0.3024204
3.9062500000000e-002	       0.3085347
3.9375000000000e-002	       0.3072658
3.9687500000000e-002	       0.3090886
4.0000000000000e-002	       0.3014413
4.0312500000000e-002	       0.3016844
4.0625000000000e-002	       0.2903385
4.0937500000000e-002	       0.2965293
4.1250000000000e-002	       0.3022437
4.1562500000000e-002	       0.2860806
4.1875000000000e-002	       0.2903313
4.2187500000000e-002	       0.2852028
4.2500000000000e-002	       0.2881779
4.2812500000000e-002	       0.2936458
4.3125000000000e-002	       0.2951036
4.3437500000000e-002	        0.294324
4.3750000000000e-002	       0.3067006
4.4062500000000e-002	       0.3109604
4.4375000000000e-002	       0.3152117
4.4687500000000e-002	       0.3186888
4.5000000000000e-002	       0.3071084
4.5312500000000e-002	        0.309709
4.5625000000000e-002	       0.3073036
4.5937500000000e-002	       0.3040792
4.6250000000000e-002	       0.3022455
4.6562500000000e-002	       0.2941427
4.6875000000000e-002	       0.2951865
4.7187500000000e-002	       0.2881424
4.7500000000000e-002	       0.2924636
4.7812500000000e-002	       0.3018057
