Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	       0.1902102
4.8828125000000e-004	       0.1900819
9.7656250000000e-004	       0.1934351
1.4648437500000e-003	       0.1860182
1.9531250000000e-003	       0.1868802
2.4414062500000e-003	       0.1803097
2.9296875000000e-003	        0.179107
3.4179687500000e-003	       0.1824092
3.9062500000000e-003	       0.1804662
4.3945312500000e-003	       0.1811567
4.8828125000000e-003	       0.1769137
5.3710937500000e-003	       0.1762805
5.8593750000000e-003	       0.1730604
6.3476562500000e-003	       0.1740303
6.8359375000000e-003	       0.1763547
7.3242187500000e-003	       0.1709916
7.8125000000000e-003	       0.1750545
8.3007812500000e-003	       0.1821232
8.7890625000000e-003	       0.1661835
9.2773437500000e-003	       0.1631917
9.7656250000000e-003	       0.1554972
1.0253906250000e-002	       0.1506908
1.0742187500000e-002	       0.1428097
1.1230468750000e-002	       0.1470028
1.1718750000000e-002	       0.1507397
1.2207031250000e-002	       0.1508717
1.2695312500000e-002	       0.1515373
1.3183593750000e-002	       0.1495799
1.3671875000000e-002	       0.1601123
1.4160156250000e-002	       0.1470616
1.4648437500000e-002	       0.1464208
1.5136718750000e-002	       0.1470318
1.5625000000000e-002	       0.1525021
1.6113281250000e-002	       0.1482496
1.6601562500000e-002	       0.1371877
1.7089843750000e-002	       0.1340921
1.7578125000000e-002	       0.1371972
1.8066406250000e-002	       0.1298083
1.8554687500000e-002	       0.1339578
1.9042968750000e-002	       0.1330902
1.9531250000000e-002	       0.1446947
2.0019531250000e-002	       0.1474342
2.0507812500000e-002	       0.1374666
2.0996093750000e-002	        0.147323
2.1484375000000e-002	       0.1475985
2.1972656250000e-002	       0.1534258
2.2460937500000e-002	       0.1592084
2.2949218750000e-002	       0.1479991
2.3437500000000e-002	        0.138676
2.3925781250000e-002	       0.1533987
2.4414062500000e-002	       0.1564651
2.4902343750000e-002	       0.1436021
2.5390625000000e-002	       0.1337854
2.5878906250000e-002	       0.1389409
2.6367187500000e-002	       0.1367487
2.6855468750000e-002	       0.1373679
2.7343750000000e-002	       0.1468954
2.7832031250000e-002	       0.1434345
2.8320312500000e-002	       0.1541986
2.8808593750000e-002	       0.1524022
2.9296875000000e-002	       0.1484911
2.9785156250000e-002	        0.157988
3.0273437500000e-002	       0.1505741
3.0761718750000e-002	        0.149428
3.1250000000000e-002	       0.1651476
3.1738281250000e-002	       0.1585364
3.2226562500000e-002	       0.1571195
3.2714843750000e-002	       0.1497671
3.3203125000000e-002	       0.1452528
3.3691406250000e-002	       0.1449075
3.4179687500000e-002	       0.1527685
3.4667968750000e-002	       0.1617877
3.5156250000000e-002	       0.1654067
3.5644531250000e-002	       0.1678072
3.6132812500000e-002	       0.1615643
3.6621093750000e-002	       0.1546622
3.7109375000000e-002	       0.1626311
3.7597656250000e-002	       0.1645472
3.8085937500000e-002	       0.1635495
3.8574218750000e-002	       0.1771542
3.9062500000000e-002	        0.183271
3.9550781250000e-002	       0.1840978
4.0039062500000e-002	       0.1857975
4.0527343750000e-002	       0.1911443
4.1015625000000e-002	       0.1889493
4.1503906250000e-002	       0.1952296
4.1992187500000e-002	       0.1892989
4.2480468750000e-002	       0.1832516
4.2968750000000e-002	       0.1797262
4.3457031250000e-002	       0.1747614
4.3945312500000e-002	       0.1889097
4.4433593750000e-002	       0.1947138
4.4921875000000e-002	       0.1957048
4.5410156250000e-002	       0.1840194
4.5898437500000e-002	       0.1860922
4.6386718750000e-002	       0.1848812
4.6875000000000e-002	       0.1798035
4.7363281250000e-002	       0.1891693
4.7851562500000e-002	       0.1958884
4.8339843750000e-002	       0.1917524
4.8828125000000e-002	       0.1860063
4.9316406250000e-002	       0.1824418
4.9804687500000e-002	       0.1867472
5.0292968750000e-002	       0.1982031
5.0781250000000e-002	       0.1870892
5.1269531250000e-002	       0.1897416
5.1757812500000e-002	       0.1997999
5.2246093750000e-002	        0.192114
5.2734375000000e-002	       0.2044842
5.3222656250000e-002	       0.2034677
5.3710937500000e-002	       0.1962598
5.4199218750000e-002	       0.2051976
5.4687500000000e-002	       0.2128834
5.5175781250000e-002	        0.206632
5.5664062500000e-002	       0.2121382
5.6152343750000e-002	       0.2125821
5.6640625000000e-002	       0.2091929
5.7128906250000e-002	       0.2090582
5.7617187500000e-002	       0.2141192
5.8105468750000e-002	       0.2134826
5.8593750000000e-002	       0.2040775
5.9082031250000e-002	       0.2148396
5.9570312500000e-002	       0.2195884
6.0058593750000e-002	       0.2107245
6.0546875000000e-002	       0.1978797
6.1035156250000e-002	       0.1861185
6.1523437500000e-002	       0.2011648
6.2011718750000e-002	       0.2002972
6.2500000000000e-002	       0.2137299
6.2988281250000e-002	        0.207946
6.3476562500000e-002	        0.211301
6.3964843750000e-002	       0.2182291
6.4453125000000e-002	       0.2090675
6.4941406250000e-002	        0.222628
6.5429687500000e-002	       0.2242769
6.5917968750000e-002	       0.2277681
6.6406250000000e-002	       0.2276795
6.6894531250000e-002	       0.2159964
6.7382812500000e-002	       0.2069056
6.7871093750000e-002	       0.2019318
6.8359375000000e-002	       0.1959594
6.8847656250000e-002	       0.1955853
6.9335937500000e-002	       0.1898131
6.9824218750000e-002	       0.2044508
7.0312500000000e-002	       0.2038967
7.0800781250000e-002	       0.2153337
7.1289062500000e-002	       0.2055555
7.1777343750000e-002	       0.1951914
7.2265625000000e-002	       0.2006363
7.2753906250000e-002	        0.195336
7.3242187500000e-002	       0.2069735
7.3730468750000e-002	         0.21335
7.4218750000000e-002	       0.2124133
7.4707031250000e-002	       0.2062647
