Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	       0.2237466
4.8828125000000e-004	       0.2226717
9.7656250000000e-004	       0.2263831
1.4648437500000e-003	       0.2245601
1.9531250000000e-003	       0.2263484
2.4414062500000e-003	       0.2374487
2.9296875000000e-003	       0.2482145
3.4179687500000e-003	       0.2355878
3.9062500000000e-003	       0.2299101
4.3945312500000e-003	       0.2428009
4.8828125000000e-003	       0.2432859
5.3710937500000e-003	       0.2326786
5.8593750000000e-003	       0.2422193
6.3476562500000e-003	       0.2470476
6.8359375000000e-003	       0.2514993
7.3242187500000e-003	       0.2450199
7.8125000000000e-003	       0.2431874
8.3007812500000e-003	       0.2483094
8.7890625000000e-003	       0.2376642
9.2773437500000e-003	       0.2414403
9.7656250000000e-003	       0.2450291
1.0253906250000e-002	       0.2413346
1.0742187500000e-002	       0.2469179
1.1230468750000e-002	       0.2437423
1.1718750000000e-002	       0.2354349
1.2207031250000e-002	       0.2374103
1.2695312500000e-002	       0.2434615
1.3183593750000e-002	       0.2254119
1.3671875000000e-002	       0.2345178
1.4160156250000e-002	       0.2402687
1.4648437500000e-002	       0.2360388
1.5136718750000e-002	       0.2491469
1.5625000000000e-002	       0.2546328
1.6113281250000e-002	        0.256014
1.6601562500000e-002	       0.2594345
1.7089843750000e-002	       0.2557596
1.7578125000000e-002	       0.2569325
1.8066406250000e-002	        0.262018
1.8554687500000e-002	       0.2557676
1.9042968750000e-002	       0.2602848
1.9531250000000e-002	       0.2491196
2.0019531250000e-002	       0.2424925
2.0507812500000e-002	       0.2555167
2.0996093750000e-002	       0.2610125
2.1484375000000e-002	       0.2629731
2.1972656250000e-002	       0.2558353
2.2460937500000e-002	       0.2556968
2.2949218750000e-002	       0.2559106
2.3437500000000e-002	       0.2575168
2.3925781250000e-002	       0.2634793
2.4414062500000e-002	       0.2528083
2.4902343750000e-002	       0.2643726
2.5390625000000e-002	        0.262739
2.5878906250000e-002	        0.251788
2.6367187500000e-002	       0.2693004
2.6855468750000e-002	       0.2721792
2.7343750000000e-002	       0.2628302
2.7832031250000e-002	       0.2669898
2.8320312500000e-002	       0.2676685
2.8808593750000e-002	       0.2629949
2.9296875000000e-002	       0.2701455
2.9785156250000e-002	       0.2727263
3.0273437500000e-002	       0.2682989
3.0761718750000e-002	       0.2515839
3.1250000000000e-002	       0.2699359
3.1738281250000e-002	       0.2766082
3.2226562500000e-002	       0.2688419
3.2714843750000e-002	       0.2630511
3.3203125000000e-002	       0.2573249
3.3691406250000e-002	       0.2599237
3.4179687500000e-002	       0.2679647
3.4667968750000e-002	         0.26336
3.5156250000000e-002	       0.2527877
3.5644531250000e-002	       0.2503348
3.6132812500000e-002	       0.2546557
3.6621093750000e-002	       0.2613615
3.7109375000000e-002	       0.2605192
3.7597656250000e-002	       0.2623858
3.8085937500000e-002	       0.2660201
3.8574218750000e-002	       0.2647175
3.9062500000000e-002	        0.248261
3.9550781250000e-002	       0.2463017
4.0039062500000e-002	       0.2424136
4.0527343750000e-002	       0.2415788
4.1015625000000e-002	       0.2347286
4.1503906250000e-002	       0.2325156
4.1992187500000e-002	       0.2446064
4.2480468750000e-002	       0.2423333
4.2968750000000e-002	       0.2407994
4.3457031250000e-002	       0.2337459
4.3945312500000e-002	       0.2334501
4.4433593750000e-002	       0.2242397
4.4921875000000e-002	       0.2150164
4.5410156250000e-002	        0.243128
4.5898437500000e-002	       0.2343777
4.6386718750000e-002	       0.2328513
4.6875000000000e-002	       0.2218227
4.7363281250000e-002	       0.2177933
4.7851562500000e-002	       0.2187536
4.8339843750000e-002	       0.2197844
4.8828125000000e-002	       0.2360539
4.9316406250000e-002	        0.245271
4.9804687500000e-002	       0.2410779
5.0292968750000e-002	       0.2272106
5.0781250000000e-002	       0.2316757
5.1269531250000e-002	        0.224641
5.1757812500000e-002	       0.2195297
5.2246093750000e-002	       0.2219429
5.2734375000000e-002	       0.2212836
5.3222656250000e-002	       0.2146375
5.3710937500000e-002	       0.2016695
5.4199218750000e-002	       0.2085411
5.4687500000000e-002	       0.2046029
5.5175781250000e-002	        0.214722
5.5664062500000e-002	       0.2146865
5.6152343750000e-002	       0.2030849
5.6640625000000e-002	       0.2143301
5.7128906250000e-002	       0.2199584
5.7617187500000e-002	       0.2128227
5.8105468750000e-002	       0.2077056
5.8593750000000e-002	       0.2088595
5.9082031250000e-002	       0.2069571
5.9570312500000e-002	       0.2067775
6.0058593750000e-002	       0.2168341
6.0546875000000e-002	        0.214656
6.1035156250000e-002	       0.2173484
6.1523437500000e-002	       0.2095548
6.2011718750000e-002	        0.206818
6.2500000000000e-002	       0.2072942
6.2988281250000e-002	       0.2092318
6.3476562500000e-002	        0.213208
6.3964843750000e-002	       0.2081663
6.4453125000000e-002	       0.2083433
6.4941406250000e-002	       0.2124636
6.5429687500000e-002	       0.2263673
6.5917968750000e-002	       0.2329472
6.6406250000000e-002	       0.2352421
6.6894531250000e-002	       0.2368157
6.7382812500000e-002	       0.2252013
6.7871093750000e-002	        0.228811
6.8359375000000e-002	       0.2372028
6.8847656250000e-002	       0.2200449
6.9335937500000e-002	       0.2213413
6.9824218750000e-002	       0.2333815
7.0312500000000e-002	       0.2299985
7.0800781250000e-002	       0.2269209
7.1289062500000e-002	       0.2371896
7.1777343750000e-002	       0.2432741
7.2265625000000e-002	       0.2321662
7.2753906250000e-002	       0.2322613
7.3242187500000e-002	       0.2337722
7.3730468750000e-002	       0.2326342
7.4218750000000e-002	       0.2284459
7.4707031250000e-002	       0.2383693
